# Multilingual Central Repository	spa	http://adimen.si.ehu.es/web/MCR/	CC BY 3.0 
00001740-n	lemma	entidad
00001740-v	lemma	aspirar
00001740-v	lemma	respirar
00002137-n	lemma	abstracción
00002452-n	lemma	cosa
00002684-n	lemma	cosa
00002684-n	lemma	objeto
00003316-v	lemma	aspirar
00003553-n	lemma	conjunto
00003553-n	lemma	unidad
00004032-v	lemma	suspirar
00004258-n	lemma	organismo
00004258-n	lemma	ser
00004475-n	lemma	organismo
00004475-n	lemma	ser
00004492-v	lemma	contener
00004492-v	lemma	retener
00004605-v	lemma	emanar
00004605-v	lemma	emitir
00004605-v	lemma	exhalar
00005787-n	lemma	bentos
00006269-n	lemma	vida
00006484-n	lemma	célula
00007012-v	lemma	soplar
00007347-n	lemma	causa
00007846-n	lemma	alguien
00007846-n	lemma	alguno
00007846-n	lemma	alma
00007846-n	lemma	humano
00007846-n	lemma	individuo
00007846-n	lemma	mortal
00007846-n	lemma	persona
00008055-v	lemma	parpadear
00008195-v	lemma	aletear
00008195-v	lemma	pestañear
00008299-v	lemma	guiñar
00008435-v	lemma	ahogar
00009147-v	lemma	cambiar
00009147-v	lemma	mudar
00009492-v	lemma	descamar
00009492-v	lemma	pelarse
00009631-v	lemma	sacudir
00010435-v	lemma	actuar
00010435-v	lemma	comprtarse
00010435-v	lemma	obrar
00011982-v	lemma	encomiar
00011982-v	lemma	ensalzar
00013328-v	lemma	jugar
00013615-v	lemma	simular
00014034-v	lemma	agitar
00014034-v	lemma	agitarse
00014034-v	lemma	menear
00014034-v	lemma	sacudir
00014034-v	lemma	temblar
00014201-v	lemma	estremecerse
00014201-v	lemma	temblar
00014201-v	lemma	tiritar
00014405-v	lemma	descansar
00014405-v	lemma	reposar
00014549-v	lemma	moverse
00014742-v	lemma	dormir
00015388-n	lemma	animal
00015388-n	lemma	bestia
00015388-n	lemma	criatura
00015388-n	lemma	fauna
00015498-v	lemma	sestear
00015713-v	lemma	dormirse
00015946-v	lemma	hibernar
00015946-v	lemma	invernar
00016183-v	lemma	estivar
00016702-v	lemma	asentir
00017222-n	lemma	flora
00017222-n	lemma	planta
00017282-v	lemma	adormecerse
00017282-v	lemma	dormirse
00017531-v	lemma	acostarse
00017531-v	lemma	encamarse
00017865-v	lemma	acostarse
00017865-v	lemma	echarse
00017865-v	lemma	encamarse
00017865-v	lemma	estirarse
00017865-v	lemma	retirarse
00017865-v	lemma	tenderse
00017865-v	lemma	tumbarse
00018158-v	lemma	aparecer
00018158-v	lemma	despertarse
00018158-v	lemma	levantarse
00018405-v	lemma	levantar
00018526-v	lemma	desadormecerse
00018526-v	lemma	despabilarse
00018526-v	lemma	despertar
00018526-v	lemma	despertarse
00018526-v	lemma	resucitar
00018813-v	lemma	despertar
00019273-v	lemma	adormecer
00019448-v	lemma	afectar
00019613-n	lemma	sustancia
00019792-v	lemma	atacar
00020090-n	lemma	substancia
00020090-n	lemma	sustancia
00020259-v	lemma	trasnochar
00020259-v	lemma	velar
00020671-v	lemma	hipnotizar
00020671-v	lemma	mesmerizar
00020827-n	lemma	materia
00020827-n	lemma	sustancia
00021265-n	lemma	alimento
00021265-n	lemma	comida
00021265-n	lemma	nutriente
00021265-n	lemma	nutrimento
00021265-n	lemma	sustento
00021554-v	lemma	eterizar
00021679-v	lemma	cocainizar
00021734-n	lemma	nutriente
00021826-v	lemma	cloroformizar
00021939-n	lemma	artefacto
00022099-v	lemma	despertar
00022099-v	lemma	reanimar
00022099-v	lemma	reavivar
00022099-v	lemma	resucitar
00022686-v	lemma	estimular
00022903-n	lemma	artículo
00023271-n	lemma	cognición
00023271-n	lemma	conocimiento
00023271-n	lemma	noesis
00023271-n	lemma	saber
00023380-v	lemma	catexiar
00023773-n	lemma	motivación
00023773-n	lemma	motivo
00023773-n	lemma	necesidad
00024047-v	lemma	despertar
00024047-v	lemma	reanimarse
00024047-v	lemma	resucitar
00024047-v	lemma	revivir
00024264-n	lemma	atributo
00024264-n	lemma	característica
00024264-n	lemma	rasgo
00024720-n	lemma	estado
00025203-v	lemma	tensar
00025654-v	lemma	relajar
00025985-v	lemma	liberar
00025985-v	lemma	relajar
00026192-n	lemma	sensación
00026192-n	lemma	sentimiento
00026385-v	lemma	relajar
00027064-v	lemma	calentar
00027167-n	lemma	lugar
00027268-v	lemma	estirar
00027705-v	lemma	extender
00027807-n	lemma	forma
00028270-n	lemma	tiempo
00028362-v	lemma	estimular
00028362-v	lemma	revigorizar
00028362-v	lemma	tonificar
00028362-v	lemma	vigorizar
00028565-v	lemma	sonreír
00028651-n	lemma	espacio
00029025-v	lemma	sonreír abiertamente
00029336-v	lemma	sonreír afectadamente
